depth,idx,solved,sol_len,seconds,sim_pdb,scramble,solution
16,28,True,16,2.891,1.0000,B2 L' D2 L' D2 B2 L2 D' L2 D B2 D' L B D' L,L' D B' L' D B2 D' L2 D L2 B2 D2 L D2 L B2
16,29,True,16,2.432,1.0000,B' D2 B2 L2 D' L' D' L2 D2 L' B L' D L2 D2 L,L' D2 L2 D' L B' L D2 L2 D L D L2 B2 D2 B
16,30,True,16,3.003,1.0000,B L2 B D2 L2 D B D B' D B' L' B' L D' B,B' D L' B L B D' B D' B' D' L2 D2 B' L2 B'
16,31,True,16,2.950,1.0000,L' B' D' B' D' L D2 B' L2 B' D' L B D2 B L,L' B' D2 B' L' D B L2 B D2 L' D B D B L
16,32,False,9,20.050,0.6398,D B D2 B D' B L2 D L' B D' L2 D B2 L B,L' D2 B2 D' L' D2 L2 D2 L'
16,33,False,14,30.708,0.8114,B2 L' B' L' D2 B D' L B D2 L B2 D' B D2 L,L' D2 B' D B2 L' D2 B' L' D B' D2 L B
16,34,True,16,3.347,1.0000,D' B L' B' D L B' D B' D' L D' L2 B D B,B' D' B' L2 D L' D B D' B L' D' B L B' D
16,35,True,16,2.679,1.0000,B D2 B' L' B' D B' L2 D' L D2 L2 D' B D2 L,L' D2 B' D L2 D2 L' D L2 B D' B L B D2 B'
16,36,True,16,2.743,1.0000,L2 D' B' D L2 B L2 D L' D2 B D L2 D' B2 D,D' B2 D L2 D' B' D2 L D' L2 B' L2 D' B D L2
16,37,False,13,38.003,0.7171,D' B D' L' D2 L2 B D' L2 B2 L D' L D B L,L' B' D' L' D L' B2 L2 D B' L2 D2 L
16,38,True,16,3.705,1.0000,L2 B' D2 L2 B2 D' B' D B D L B L D L2 B,B' L2 D' L' B' L' D' B' D' B D B2 L2 D2 B L2
16,39,False,10,20.983,0.7315,L' D' L2 B2 D' L' B D2 L2 D L B2 L' B2 L' D,L2 B2 L D B' L2 D2 B2 L D'
16,40,True,16,4.868,1.0000,L B D2 B2 D' L B L B D2 L' D L B2 D B,B' D' B2 L' D' L D2 B' L' B' L' D B2 D2 B' L'
16,41,False,15,33.054,0.9057,L' D' L' B2 L2 B L B2 D L2 B' D2 B L2 B L,L' B' L2 B' D2 B L2 D' B2 L' B' L2 B2 L D
16,42,True,16,2.676,1.0000,L D2 L' D' B' L' D2 L D' B' D' B' L2 D B L,L' B' D' L2 B D B D L' D2 L B D L D2 L'
16,43,True,16,4.026,1.0000,L' B2 D L' B2 D2 L' D B L B2 L D B2 L' B,B' L B2 D' L' B2 L' B' D' L D2 B2 L D' B2 L
16,44,True,16,4.005,1.0000,B' D2 L' D2 B2 L2 B L2 B L2 D2 B' L' D2 B2 L,L' B2 D2 L B D2 L2 B' L2 B' L2 B2 D2 L D2 B
16,45,True,16,2.852,1.0000,B L' B2 L2 B2 L2 B' L D B2 D2 L' D B D' B,B' D B' D' L D2 B2 D' L' B L2 B2 L2 B2 L B'
16,46,True,16,2.422,1.0000,D2 L D L B' L2 D' B2 L D' L B L B2 D' B,B' D B2 L' B' L' D L' B2 D L2 B L' D' L' D2
16,47,True,16,2.989,1.0000,D' L2 B' L2 B2 L B' D2 L' B2 L' B' L' D L' B,B' L D' L B L B2 L D2 B L' B2 L2 B L2 D
16,48,True,16,3.015,1.0000,D' B' L' D' B' L B L' D B L2 B' L D L B,B' L' D' L' B L2 B' D' L B' L' B D L B D
16,49,True,16,2.711,1.0000,B2 L2 B L B2 D B' D2 B' D2 L B2 D2 B' D2 B,B' D2 B D2 B2 L' D2 B D2 B D' B2 L' B' L2 B2
18,0,True,18,2.762,1.0000,B L' D' B' D L2 B2 L2 D B2 L' B D L' D2 B' D' L,L' D B D2 L D' B' L B2 D' L2 B2 L2 D' B D L B'
18,1,False,6,12.760,0.6716,B2 D' B' D2 L' B' D2 B2 L2 D2 L' B' L' B2 D2 B L' D2,D B D2 B2 L B2
18,2,True,18,4.315,1.0000,L2 B L' B2 L' B' D2 B L D2 B L' B2 L' D2 L B' D',D B L' D2 L B2 L B' D2 L' B' D2 B L B2 L B' L2
18,3,True,18,4.303,1.0000,B2 D L2 B' D L2 D2 L2 D B2 D' L D' L2 D2 B L B',B L' B' D2 L2 D L' D B2 D' L2 D2 L2 D' B L2 D' B2
18,4,False,9,18.858,0.6494,B2 D2 L D2 B L' D2 L' B' L D' L' B' D L' D B2 D2,L B L2 D B2 D2 L' B L'
18,5,True,18,3.053,1.0000,L D B L' D2 B2 L2 B2 D L D L B L B' D' L2 D',D L2 D B L' B' L' D' L' D' B2 L2 B2 D2 L B' D' L'
18,6,True,18,3.247,1.0000,B' L' B' L B L2 B' L2 D' B2 L' D' L B L' D2 L D,D' L' D2 L B' L' D L B2 D L2 B L2 B' L' B L B
18,7,False,17,34.406,0.9057,D B' D B L' D' L2 B' D' L B L D B D' B2 D' B,B' D B2 D B' D' L' B' L' D B L2 D L B' D' B
18,8,False,10,20.948,0.6683,B' L' B D2 L' D B L D2 L B2 L' D' L B D L B2,D L2 D2 L' D L B2 L2 B L2
18,9,True,18,4.196,1.0000,L D L' B D' B L D2 B L' D B' L' D' L' D' B D,D' B' D L D L B D' L B' D2 L' B' D B' L D' L'
18,10,False,10,22.052,0.7250,L2 D' B' D B' L B' D B' D2 L D' L2 D2 B2 L2 D2 L',B' L' D2 B2 D2 B2 L D2 B' L
18,11,True,18,3.756,1.0000,B2 L2 D B2 D' L' B' D' B2 L B' L2 D B' L2 B D2 L,L' D2 B' L2 B D' L2 B L' B2 D B L D B2 D' L2 B2
18,12,False,13,25.884,0.7250,B2 L2 D' B' D B2 L' B2 L D' B2 L' B D L2 B D' B,B' D B L' B L B D B2 D2 L2 D2 B2
18,13,False,7,15.566,0.6398,B' L' B' L' B2 L2 D' L2 D B2 D2 L B2 D2 B L' B' L',B L D2 B2 D L B'
18,14,False,7,14.861,0.6182,D B D' B2 L' B L2 D2 L2 B2 D L' D' L' D2 L2 B L,L' D2 B' D B L B2
18,15,True,18,4.576,1.0000,B L2 B D' B2 L' B L' B' L' B L2 B D2 B L' B L',L B' L B' D2 B' L2 B' L B L B' L B2 D B' L2 B'
18,16,False,11,24.330,0.7250,B2 L2 D2 L D B' D2 B2 L D2 L' B D' L' D2 B' D2 L',L' B' D2 B2 D' L2 B2 D B L' B2
18,17,False,14,31.056,0.7250,D' B L' B2 D' L2 D2 L B' D2 L' D' B2 D' B' L B D2,B L' B D B2 D L2 D' B2 D L2 B2 L2 D'
18,18,False,11,28.784,0.6716,D L' B2 D L B2 L B' L' D B' L2 B D' L D' B2 D',D B' D2 B' L' D B2 L2 B2 L2 B'
18,19,False,16,46.969,0.8114,D' B2 D L B2 D L' D B2 D L' B D B' L B' D2 B,B' D2 B L' B D' B' L D' B2 D' L D' B2 L' D'
18,20,False,9,19.568,0.7330,B2 L D2 B D' B L' B L2 B' D' L2 B L B' L2 D' L,L' B' L B2 L B' D2 L2 D2
18,21,False,12,26.901,0.7576,B L2 B' L' B' D B' D' L' D2 L2 D2 B' D2 L2 D2 B2 D,B' D' L' B D L2 B L2 D' B' L' B2
18,22,True,18,4.070,1.0000,B' L' B' L D L' B2 D' L' B2 D2 B' L' D L B2 L B2,B2 L' B2 L' D' L B D2 B2 L D B2 L D' L' B L B
18,23,True,18,4.009,1.0000,B L2 B L' B D2 B L D L2 B' D' B2 L' D B' L2 D2,D2 L2 B D' L B2 D B L2 D' L' B' D2 B' L B' L2 B'
18,24,True,18,3.764,1.0000,D2 B' L2 B' D' B L2 B2 L B L' B L2 B2 D2 L B2 L,L' B2 L' D2 B2 L2 B' L B' L' B2 L2 B' D B L2 B D2
18,25,True,18,3.009,1.0000,B2 D2 B2 D' L' B' L2 D' L2 D L2 D' L2 D2 L2 D B2 D2,D2 B2 D' L2 D2 L2 D L2 D' L2 D L2 B L D B2 D2 B2
18,26,True,18,4.058,1.0000,B' L D2 B L2 B' L' B2 D' B' L2 D2 L B2 L' D2 L' B',B L D2 L B2 L' D2 L2 B D B2 L B L2 B' D2 L' B
18,27,False,11,24.323,0.6019,L B' D2 B L' B2 D' L' B2 L' B2 D' L D2 B D' L B',B2 D B' D2 L' D' B2 L' D L2 D'
18,28,False,10,23.661,0.6262,L2 D' L D2 B' L' B2 L2 B D' L B L2 D B2 D2 L2 B',L' D2 B L B' D B2 D' B' L'
18,29,True,18,4.433,1.0000,B2 L' B L2 D' L' B D L D' B D' B L D' L2 D2 B',B D2 L2 D L' B' D B' D L' D' B' L D L2 B' L B2
18,30,False,13,31.539,0.7724,L' B2 L' B2 L B2 D B' D' L B2 L' D' L B L' D2 B2,B' D2 L2 B' L' B' D B2 L B' D B L'
18,31,True,18,3.153,1.0000,D' L2 D2 B L D' L' D' L B' D' L D B' D L' B' D',D B L D' B D' L' D B L' D L D L' B' D2 L2 D
18,32,False,12,25.555,0.6716,L2 D L' D L' B' D' L2 B2 D' L D L' D' L2 B' L' B,B2 L B L2 D2 B2 L2 D B L2 D2 L2
18,33,True,18,4.905,1.0000,D2 B2 L2 B2 D L B D' L' B L2 D2 B L2 D2 B2 D L2,L2 D' B2 D2 L2 B' D2 L2 B' L D B' L' D' B2 L2 B2 D2
18,34,False,11,29.405,0.6796,D' B2 D L D2 B2 L2 B D2 B2 D2 L2 D' L2 D' B L2 D2,B' L2 B' D L2 D' L2 B D' L' D2
18,35,False,16,36.943,0.7535,L D' B L' B D B2 L2 B2 D2 B' L' D' B2 L' D' L2 B',D L B2 D L' B' L' B L2 B D2 L2 D2 B L B
18,36,False,6,14.973,0.6716,B2 D' B D B2 L D2 B2 L B' L B2 L' D2 L D2 B' D',D' B' D2 B' L D'
18,37,True,18,3.854,1.0000,B D L2 B' L2 B L2 D L B' L' D B2 L' D2 B2 L2 D2,D2 L2 B2 D2 L B2 D' L B L' D' L2 B' L2 B L2 D' B'
18,38,False,14,34.942,0.6716,B D B' D2 L2 B D2 L2 B2 D' L B' L D' L B2 L2 D,B L2 D' L' B' L' D L2 D2 B2 L D2 L2 D2
18,39,False,12,24.952,0.7064,D L2 B2 L' B' L2 D' L2 D L D2 L2 B' L2 B L D2 L2,B' D L' B2 L' B L2 D2 L2 D2 B L'
18,40,True,18,3.060,1.0000,B L2 B2 D L2 B' L2 D2 B2 D2 L' D' L' B' D B D' L',L D B' D' B L D L D2 B2 D2 L2 B L2 D' B2 L2 B'
18,41,False,13,28.029,0.6716,D B2 D L' B2 D B L2 B' D2 B' D B' L D2 B2 L B2,B2 D L' B' L2 D' L D2 B2 D2 B2 D' B'
18,42,False,9,19.462,0.6494,L B' D L B L' D' L D2 L' B' D B' D B2 D2 B L,L' B' L2 B D2 L B L B'
18,43,False,14,32.781,0.6590,L2 B2 L' B L B D L B2 L' D2 L D2 L2 D L2 D' L2,L2 B2 L' D' L2 D' L D' B' L D2 L B L
18,44,False,8,15.459,0.6116,L' B' L2 D L' D' B2 D2 L' D' L B2 D' B2 D2 L' D L2,D L2 B2 D L2 D L' B
18,45,True,18,4.428,1.0000,L' D2 L2 D' L' D2 L' B' D B2 L2 B L D2 B' D' L2 B,B' L2 D B D2 L' B' L2 B2 D' B L D2 L D L2 D2 L
18,46,False,17,37.139,0.9057,L2 D2 L D' B D' L2 D' L' D2 L2 B2 L B2 L B2 L2 D,D' L2 B2 L' B2 L' B2 L2 D2 L D L2 D B' D L' D2
18,47,True,18,4.275,1.0000,L2 D2 L D2 L2 B L' D L' D L B' D' B' D B' L D,D' L' B D' B D B L' D' L D' L B' L2 D2 L' D2 L2
18,48,False,12,23.865,0.6876,L' B2 L' D L2 D' B L D2 B' D2 L2 B2 L B' D' L B',L' B D L2 D L B D' L2 D B' D
18,49,True,18,3.040,1.0000,L' D' L2 D L2 D' B2 L2 D' B2 D B L D' L B D L2,L2 D' B' L' D L' B' D' B2 D L2 B2 D L2 D' L2 D L
